login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
AkshayaBalasubramani,AkshayaBalasubramani/NeetCode150,2024-10-15T12:30:13Z,0,0,Python,true,true,
0xbharath,0xbharath/explore,2024-10-15T10:52:27Z,0,0,Ruby,true,false,Creative Commons Attribution 4.0 International
krishnaik06,krishnaik06/ETLWeather,2024-10-15T10:45:09Z,9,9,Python,true,true,GNU General Public License v3.0
asdofindia,asdofindia/balance-checker,2024-10-15T10:04:23Z,0,0,Shell,true,true,
Newton-School,Newton-School/UserCredentials_boilerplate,2024-10-15T06:54:59Z,0,0,JavaScript,true,true,
pavanbelagatti,pavanbelagatti/OpenAI-Swarm-Tutorial,2024-10-15T06:50:56Z,0,0,Jupyter Notebook,true,true,
vinaysshenoy,vinaysshenoy/cache-control,2024-10-15T06:31:51Z,0,0,null,true,false,MIT License
razorpay,razorpay/golib,2024-10-15T06:18:30Z,0,0,null,true,true,
Newton-School,Newton-School/InputValidation_boilerplate,2024-10-15T05:17:44Z,0,0,JavaScript,true,true,
vvHacker007,vvHacker007/LLD,2024-10-14T18:44:04Z,0,0,null,true,true,
srijan-paul,srijan-paul/jam,2024-10-14T17:02:23Z,1,1,Zig,true,true,
Newton-School,Newton-School/ManageSchema_Boilerplate,2024-10-14T16:11:53Z,0,0,JavaScript,true,true,
laxmimerit,laxmimerit/ollama-chatbot,2024-10-14T16:06:13Z,0,0,Jupyter Notebook,true,true,
Haimantika,Haimantika/awesome-docs,2024-10-14T15:36:37Z,0,0,null,true,true,Other
Newton-School,Newton-School/Authentication_boilerplate,2024-10-14T14:51:53Z,0,0,JavaScript,true,true,
zeroby0,zeroby0/AdaptDCT,2024-10-14T14:32:10Z,0,0,Python,true,false,
Newton-School,Newton-School/Todo_Boilerplate,2024-10-14T13:44:03Z,0,0,JavaScript,true,true,
vkrajput26,vkrajput26/backend-aws-service,2024-10-14T09:36:51Z,0,0,JavaScript,true,true,
AnkitSharma-007,AnkitSharma-007/crud-using-react-dotnet-webapi,2024-10-14T09:31:38Z,0,0,TypeScript,true,true,MIT License
lunaroyster,lunaroyster/awesome-products-india,2024-10-14T09:12:07Z,0,0,null,true,true,
0xbharath,0xbharath/misconfig-mapper,2024-10-14T07:51:34Z,0,0,null,true,false,MIT License
ad1992,ad1992/XorShift128Plus,2024-10-14T06:11:03Z,0,0,Python,true,true,
sanghamitra0591,sanghamitra0591/library-server,2024-10-14T04:46:12Z,0,0,JavaScript,true,true,
wa5,wa5/java-package-with-maven-demo-wa5,2024-10-14T02:47:25Z,0,0,Java,true,true,
thatbeautifuldream,thatbeautifuldream/gitcommitfame,2024-10-14T01:24:05Z,0,0,TypeScript,true,true,
anistark,anistark/pythonindia,2024-10-13T22:28:57Z,0,0,HTML,true,false,MIT License
avinassh,avinassh/bottomless,2024-10-13T18:23:20Z,0,0,null,true,true,
dilawar,dilawar/ical-desktop-notification,2024-10-13T17:46:19Z,1,1,Rust,true,true,MIT License
nimishbongale,nimishbongale/onnxruntime,2024-10-13T07:32:35Z,0,0,null,true,true,MIT License
dilawar,dilawar/web_ical,2024-10-13T05:22:47Z,0,0,Rust,true,true,MIT License
thatbeautifuldream,thatbeautifuldream/next-kamal-deploy,2024-10-13T01:50:10Z,0,0,TypeScript,true,true,
thatbeautifuldream,thatbeautifuldream/milindmishra,2024-10-12T22:20:13Z,0,0,JavaScript,true,true,
hariketsheth,hariketsheth/sg-cloud-suggestor,2024-10-12T19:56:54Z,0,0,TypeScript,true,true,
srijan-paul,srijan-paul/kiesel,2024-10-12T18:11:44Z,0,0,null,true,true,
hkedia321,hkedia321/fast-grid,2024-10-12T15:58:42Z,0,0,null,true,true,MIT License
Newton-School,Newton-School/FileSystem_Boilerplate_main,2024-10-12T14:27:36Z,0,0,JavaScript,true,true,
sanghamitra0591,sanghamitra0591/library-manager,2024-10-12T12:40:49Z,0,0,HTML,true,true,
KunaalNaik,KunaalNaik/DSM_Silver_One_Time_Offer_Boost_Upgrade,2024-10-12T09:43:44Z,0,0,null,true,true,
gokulkrishh,gokulkrishh/invoicegenerator.tax,2024-10-12T06:50:16Z,2,2,TypeScript,true,false,MIT License
Tivotal,Tivotal/Password-Strength-Checker-JavaScript,2024-10-12T06:02:02Z,1,1,JavaScript,true,true,
dilawar,dilawar/file-retriever,2024-10-12T05:30:57Z,0,0,null,true,true,MIT License
sujithkanna,sujithkanna/pi5-ubuntu-setup,2024-10-11T14:26:14Z,0,0,Python,true,true,
sanjaysamantra1,sanjaysamantra1/angular_10_oct_2024,2024-10-11T13:16:14Z,0,0,HTML,true,true,
Newton-School,Newton-School/sdg-ru-open-source-repo,2024-10-11T12:20:56Z,0,0,null,true,true,
hasura,hasura/timescaledb-parallel-copy,2024-10-11T11:12:18Z,0,0,Go,true,true,Apache License 2.0
hasura,hasura/redis,2024-10-11T10:56:24Z,0,0,null,true,false,"BSD 3-Clause ""New"" or ""Revised"" License"
hasura,hasura/hydra,2024-10-11T10:36:46Z,0,0,null,true,false,Apache License 2.0
PavanAnanthSharma,PavanAnanthSharma/Apex-CLOB-CORE,2024-10-11T10:18:17Z,0,0,null,true,true,GNU General Public License v3.0
arpitbbhayani,arpitbbhayani/leaderboard-go-dicedb,2024-10-11T08:24:25Z,1,1,Go,true,true,
Tivotal,Tivotal/Instagram-Like-Stories-Slider-by-using-HTML-CSS-and-JavaScript,2024-10-11T07:14:49Z,0,0,HTML,true,true,
Tivotal,Tivotal/JavaScript-Sliding-Card,2024-10-11T05:39:42Z,0,0,CSS,true,true,
tfidfwastaken,tfidfwastaken/fishmarket,2024-10-11T04:21:20Z,0,0,HTML,true,true,MIT License
Tivotal,Tivotal/Button-Hover-Animation-in-HTML-CSS,2024-10-11T03:35:03Z,0,0,CSS,true,true,
hasura,hasura/timescaledb-docker,2024-10-10T20:41:00Z,0,0,null,true,true,Apache License 2.0
farhaanbukhsh,farhaanbukhsh/tutor-contrib-expermental-mfe,2024-10-10T18:24:07Z,0,0,Python,true,true,MIT License
srijan-paul,srijan-paul/unicode-id,2024-10-10T18:08:26Z,8,8,Zig,true,true,
Dhaiwat10,Dhaiwat10/bako-safe-ui,2024-10-10T16:04:08Z,0,0,null,true,true,Apache License 2.0
hasura,hasura/ddn-examples,2024-10-10T13:55:10Z,0,0,Shell,true,true,
Tivotal,Tivotal/Card-Border-Hover-Animation-in-HTML-and-CSS,2024-10-10T11:17:39Z,0,0,CSS,true,true,
Tivotal,Tivotal/Download-Arrow-Animation-Using-HTML-CSS-and-JavaScript,2024-10-10T10:01:40Z,0,0,CSS,true,true,
Tivotal,Tivotal/Draggable-Sidebar-Menu-in-HTML-CSS-and-JavaScript,2024-10-10T05:44:48Z,0,0,CSS,true,true,
Tivotal,Tivotal/Modular-CSS-Loader-Animation,2024-10-10T02:58:14Z,0,0,CSS,true,true,
version0chiro,version0chiro/chessGo-app,2024-10-09T18:19:25Z,0,0,Svelte,true,true,
AnkitSharma-007,AnkitSharma-007/react-form-validation,2024-10-09T15:47:35Z,0,0,TypeScript,true,true,MIT License
0x48piraj,0x48piraj/barely-windows,2024-10-09T13:34:05Z,2,2,TypeScript,true,true,Other
Aadarsh805,Aadarsh805/simple-server,2024-10-09T10:19:58Z,0,0,JavaScript,true,true,
reuters-graphics,reuters-graphics/solar-tariff-page-2024-materials,2024-10-09T08:41:39Z,0,0,null,true,true,
AnkitSharma-007,AnkitSharma-007/game-hub-react,2024-10-09T08:09:05Z,0,0,TypeScript,true,true,MIT License
arkprocoder,arkprocoder/C2C-Python,2024-10-09T05:30:43Z,0,0,HTML,true,true,
saishkulkarni,saishkulkarni/crud_rest,2024-10-09T05:12:59Z,0,0,Java,true,true,
shibasisp,shibasisp/zmk-config,2024-10-08T18:51:28Z,0,0,null,true,true,
Dhaiwat10,Dhaiwat10/mira-amm-web,2024-10-08T13:54:46Z,0,0,TypeScript,true,false,
PavanAnanthSharma,PavanAnanthSharma/privx-exchange-contract,2024-10-08T11:11:00Z,0,0,null,true,false,MIT License
PavanAnanthSharma,PavanAnanthSharma/privx-exchange-backend,2024-10-08T11:09:56Z,0,0,null,true,false,MIT License
Tivotal,Tivotal/To-Do-List-App-with-Local-Storage-in-HTML-CSS-JS,2024-10-08T09:52:44Z,1,1,JavaScript,true,true,
sanghamitra0591,sanghamitra0591/e-commerce-cimet,2024-10-08T09:00:53Z,0,0,JavaScript,true,true,
abhisek,abhisek/oauth,2024-10-08T07:37:50Z,0,0,Go,true,true,MIT License
Souvikns,Souvikns/md-to-pdf,2024-10-08T05:48:42Z,0,0,JavaScript,true,true,Apache License 2.0
krishnaik06,krishnaik06/datasets,2024-10-08T05:16:12Z,3,3,null,true,true,GNU General Public License v3.0
sachinites,sachinites/Bitmaps,2024-10-07T18:52:32Z,0,0,C,true,true,GNU General Public License v3.0
kaushikb11,kaushikb11/langgraph-customer-support-bot,2024-10-07T16:17:58Z,0,0,Python,true,false,
marketcalls,marketcalls/OpenTerminal,2024-10-07T14:52:44Z,3,3,Python,true,true,Other
